project_id,questions_count
4847350,2
2580088,5051
114918293,21
144115959,1337
42608086,1827
85005111,1198
135952540,70
10057246,94
196979364,6
36641501,102
3266615,2
33930255,1
1039662,1
3659801,4
18367909,1
77570323,3
44750931,2
38329313,46
12182334,46
19352938,2
959607,114228
32307472,9
7040983,2
12550252,49
26855325,195
58921607,2
62863678,61
191946,16
17765985,14
6304398,121
19484140,9
43662636,4
40325889,204
134684292,1
14974219,1
5108557,580
6560370,9
121488200,2282
181043517,2
198592383,3
31401005,6
70136587,1449
27612143,1
24100618,10
8568957,2
2697304,1
54124754,11
19702048,2
262812,278
8916687,6
163899543,17
31336711,5
5204717,290
27081214,3000
22808175,3
14845474,18210
29300494,16699
5232784,1676
90179989,2
117549942,540
18599887,54
2089287,2
86897067,1
3107468,2
21386822,10560
31614166,385
65455555,93
164102668,1
5518007,5
32264169,1
124798517,2
211251769,7222
787133,42
773121,25
64600612,6
16726415,1
37230167,147
10418180,1
74399,8
65007733,6
74719501,9
1018370,15
13138778,1
95874438,56
176916833,1
68795424,2
93867851,582
179462921,532
42479602,10140
13507391,17
104492269,20
130371895,56
9579289,756
267482987,77
140268692,3
244390773,2
52445730,2
36465798,12
31058073,3
901523,1
23312754,2
66083698,2
57059651,7
22669078,2291
45048315,53
4290393,99
168599003,57
168396618,12
22468542,6
265889807,1379
54314855,1244
84469064,45
138175941,9
1050604,1
63917307,228
25445781,12027
21286077,55
58575264,3
12308221,3
146708719,1
8376115,122
36456582,118
9728720,72
149692858,1
16257529,4
92290249,26886
137790447,4
44764319,1
39176598,628
114339844,1
215051434,1
35146974,1
1208076,308
15484759,2
6660302,3
113191490,1
5988435,1
32640598,754
72091553,1
6132629,36405
23226109,3
98140018,773
26616906,1528
226728839,4840
65433060,8
144566152,13
221879728,3928
154710659,3932
244405938,262
20272016,694
2297015,22128
49117026,2
4027330,34853
1174001,19
45800408,5315
30331494,1
19011240,3909
43355708,1204
20707618,1
28155316,9
13797726,1453
191700865,647
14550110,8
49220316,5
32099702,132
68282511,9
19139100,29
247408228,130
302749270,656
35565103,20941
231877,1
42274797,7
1835832,14159
86991509,13
5515706,37
4644392,107
92044857,123
8280896,2
1025425,3
73394151,9
25180504,1
20405065,3
1551431,1
2467036,1
25417517,172
35139240,1
53706938,1
14254137,26
184473956,9
96895722,3
34351503,11
192669206,215
45666766,42
797112,16
581333,15
9405249,4
1090209,2
11957812,153
162103117,1
120381204,2
109695638,2
104649721,12196
70597556,6416
50053380,1
51262373,61
31155758,3
40869929,1
268006778,9
7007153,1
36198892,6
3602279,1
37072440,280
247436,1
16847167,2
37732093,1
13003659,135
63283120,44
2397676,4
74641046,1
5060864,13
72974012,166
208060770,1041
31878325,565
232094425,1
8828794,4096
15970764,1700
7290152,2
22842412,3
733540,1
4332894,5470
125953746,2
6914572,41
100660613,79
91190545,260
2740353,12
38064221,1
79202976,15
18917753,5
98633459,1
86372074,24
93211371,14
129529718,8
246502942,2
5995366,1
101490342,144
65266800,2
94049827,4
1521919,2
149734101,1
5932153,22
3204093,1
